Year,Month,Day,Hour,DNI
2024,1,1,0,0
2024,1,1,1,0
2024,1,1,2,0
2024,1,1,3,0
2024,1,1,4,0
2024,1,1,5,0
2024,1,1,6,0
2024,1,1,7,9.04
2024,1,1,8,179.85
2024,1,1,9,480.11
2024,1,1,10,660.66
2024,1,1,11,780.45
2024,1,1,12,724.53
2024,1,1,13,510.77
2024,1,1,14,450.53
2024,1,1,15,341.87
2024,1,1,16,83.32
2024,1,1,17,0
2024,1,1,18,0
2024,1,1,19,0
2024,1,1,20,0
2024,1,1,21,0
2024,1,1,22,0
2024,1,1,23,0
2024,1,2,0,0
2024,1,2,1,0
2024,1,2,2,0
2024,1,2,3,0
2024,1,2,4,0
2024,1,2,5,0
2024,1,2,6,0
2024,1,2,7,45.43
2024,1,2,8,446.52
2024,1,2,9,666.59
2024,1,2,10,838.16
2024,1,2,11,903.95
2024,1,2,12,899.86
2024,1,2,13,767.93
2024,1,2,14,702.67
2024,1,2,15,516.91
2024,1,2,16,108.28
2024,1,2,17,0
2024,1,2,18,0
2024,1,2,19,0
2024,1,2,20,0
2024,1,2,21,0
2024,1,2,22,0
2024,1,2,23,0
2024,1,3,0,0
2024,1,3,1,0
2024,1,3,2,0
2024,1,3,3,0
2024,1,3,4,0
2024,1,3,5,0
2024,1,3,6,0
2024,1,3,7,9.79
2024,1,3,8,188.53
2024,1,3,9,409.11
2024,1,3,10,544.55
2024,1,3,11,598.11
2024,1,3,12,609.45
2024,1,3,13,542.56
2024,1,3,14,430.79
2024,1,3,15,199.97
2024,1,3,16,17.38
2024,1,3,17,0
2024,1,3,18,0
2024,1,3,19,0
2024,1,3,20,0
2024,1,3,21,0
2024,1,3,22,0
2024,1,3,23,0
2024,1,4,0,0
2024,1,4,1,0
2024,1,4,2,0
2024,1,4,3,0
2024,1,4,4,0
2024,1,4,5,0
2024,1,4,6,0
2024,1,4,7,7.52
2024,1,4,8,176.95
2024,1,4,9,430.53
2024,1,4,10,606.34
2024,1,4,11,696.21
2024,1,4,12,780.7
2024,1,4,13,791.16
2024,1,4,14,710.45
2024,1,4,15,409.31
2024,1,4,16,72.96
2024,1,4,17,0
2024,1,4,18,0
2024,1,4,19,0
2024,1,4,20,0
2024,1,4,21,0
2024,1,4,22,0
2024,1,4,23,0
2024,1,5,0,0
2024,1,5,1,0
2024,1,5,2,0
2024,1,5,3,0
2024,1,5,4,0
2024,1,5,5,0
2024,1,5,6,0
2024,1,5,7,5.37
2024,1,5,8,175.23
2024,1,5,9,388.02
2024,1,5,10,527.21
2024,1,5,11,683.49
2024,1,5,12,763.77
2024,1,5,13,730
2024,1,5,14,661.48
2024,1,5,15,528.08
2024,1,5,16,114.5
2024,1,5,17,0
2024,1,5,18,0
2024,1,5,19,0
2024,1,5,20,0
2024,1,5,21,0
2024,1,5,22,0
2024,1,5,23,0
2024,1,6,0,0
2024,1,6,1,0
2024,1,6,2,0
2024,1,6,3,0
2024,1,6,4,0
2024,1,6,5,0
2024,1,6,6,0
2024,1,6,7,3.73
2024,1,6,8,191.61
2024,1,6,9,444.85
2024,1,6,10,575.2
2024,1,6,11,843.62
2024,1,6,12,877.5
2024,1,6,13,779.32
2024,1,6,14,588.41
2024,1,6,15,345.93
2024,1,6,16,50.17
2024,1,6,17,0
2024,1,6,18,0
2024,1,6,19,0
2024,1,6,20,0
2024,1,6,21,0
2024,1,6,22,0
2024,1,6,23,0
2024,1,7,0,0
2024,1,7,1,0
2024,1,7,2,0
2024,1,7,3,0
2024,1,7,4,0
2024,1,7,5,0
2024,1,7,6,0
2024,1,7,7,4.1
2024,1,7,8,175.13
2024,1,7,9,407.77
2024,1,7,10,560.12
2024,1,7,11,728.17
2024,1,7,12,725.58
2024,1,7,13,163.5
2024,1,7,14,143.49
2024,1,7,15,69.64
2024,1,7,16,11.31
2024,1,7,17,0
2024,1,7,18,0
2024,1,7,19,0
2024,1,7,20,0
2024,1,7,21,0
2024,1,7,22,0
2024,1,7,23,0
2024,1,8,0,0
2024,1,8,1,0
2024,1,8,2,0
2024,1,8,3,0
2024,1,8,4,0
2024,1,8,5,0
2024,1,8,6,0
2024,1,8,7,18.97
2024,1,8,8,360.12
2024,1,8,9,612
2024,1,8,10,712.19
2024,1,8,11,795.12
2024,1,8,12,845.03
2024,1,8,13,857.89
2024,1,8,14,774.39
2024,1,8,15,573.22
2024,1,8,16,156.71
2024,1,8,17,0
2024,1,8,18,0
2024,1,8,19,0
2024,1,8,20,0
2024,1,8,21,0
2024,1,8,22,0
2024,1,8,23,0
2024,1,9,0,0
2024,1,9,1,0
2024,1,9,2,0
2024,1,9,3,0
2024,1,9,4,0
2024,1,9,5,0
2024,1,9,6,0
2024,1,9,7,9.1
2024,1,9,8,273.8
2024,1,9,9,502.6
2024,1,9,10,612.57
2024,1,9,11,759.19
2024,1,9,12,796.36
2024,1,9,13,772.82
2024,1,9,14,673.27
2024,1,9,15,468.63
2024,1,9,16,82.31
2024,1,9,17,0
2024,1,9,18,0
2024,1,9,19,0
2024,1,9,20,0
2024,1,9,21,0
2024,1,9,22,0
2024,1,9,23,0
2024,1,10,0,0
2024,1,10,1,0
2024,1,10,2,0
2024,1,10,3,0
2024,1,10,4,0
2024,1,10,5,0
2024,1,10,6,0
2024,1,10,7,9.24
2024,1,10,8,280.41
2024,1,10,9,589.09
2024,1,10,10,731
2024,1,10,11,793.37
2024,1,10,12,833.42
2024,1,10,13,801.16
2024,1,10,14,712.34
2024,1,10,15,509.08
2024,1,10,16,101.52
2024,1,10,17,0
2024,1,10,18,0
2024,1,10,19,0
2024,1,10,20,0
2024,1,10,21,0
2024,1,10,22,0
2024,1,10,23,0
2024,1,11,0,0
2024,1,11,1,0
2024,1,11,2,0
2024,1,11,3,0
2024,1,11,4,0
2024,1,11,5,0
2024,1,11,6,0
2024,1,11,7,13.47
2024,1,11,8,251.43
2024,1,11,9,519.97
2024,1,11,10,651.96
2024,1,11,11,755.23
2024,1,11,12,794.81
2024,1,11,13,751.31
2024,1,11,14,521.85
2024,1,11,15,284.38
2024,1,11,16,50.97
2024,1,11,17,0
2024,1,11,18,0
2024,1,11,19,0
2024,1,11,20,0
2024,1,11,21,0
2024,1,11,22,0
2024,1,11,23,0
2024,1,12,0,0
2024,1,12,1,0
2024,1,12,2,0
2024,1,12,3,0
2024,1,12,4,0
2024,1,12,5,0
2024,1,12,6,0
2024,1,12,7,0
2024,1,12,8,0
2024,1,12,9,0.86
2024,1,12,10,8.3
2024,1,12,11,12
2024,1,12,12,1.91
2024,1,12,13,26.15
2024,1,12,14,30.32
2024,1,12,15,22.5
2024,1,12,16,3.99
2024,1,12,17,0
2024,1,12,18,0
2024,1,12,19,0
2024,1,12,20,0
2024,1,12,21,0
2024,1,12,22,0
2024,1,12,23,0
2024,1,13,0,0
2024,1,13,1,0
2024,1,13,2,0
2024,1,13,3,0
2024,1,13,4,0
2024,1,13,5,0
2024,1,13,6,0
2024,1,13,7,48.36
2024,1,13,8,292.68
2024,1,13,9,291.86
2024,1,13,10,237.94
2024,1,13,11,79.97
2024,1,13,12,319.69
2024,1,13,13,397.79
2024,1,13,14,248.33
2024,1,13,15,125.74
2024,1,13,16,16.9
2024,1,13,17,0
2024,1,13,18,0
2024,1,13,19,0
2024,1,13,20,0
2024,1,13,21,0
2024,1,13,22,0
2024,1,13,23,0
2024,1,14,0,0
2024,1,14,1,0
2024,1,14,2,0
2024,1,14,3,0
2024,1,14,4,0
2024,1,14,5,0
2024,1,14,6,0
2024,1,14,7,0
2024,1,14,8,4.75
2024,1,14,9,8.46
2024,1,14,10,12.21
2024,1,14,11,13.78
2024,1,14,12,1.21
2024,1,14,13,14.21
2024,1,14,14,23.22
2024,1,14,15,33.92
2024,1,14,16,5.29
2024,1,14,17,0
2024,1,14,18,0
2024,1,14,19,0
2024,1,14,20,0
2024,1,14,21,0
2024,1,14,22,0
2024,1,14,23,0
2024,1,15,0,0
2024,1,15,1,0
2024,1,15,2,0
2024,1,15,3,0
2024,1,15,4,0
2024,1,15,5,0
2024,1,15,6,0
2024,1,15,7,7.31
2024,1,15,8,210.48
2024,1,15,9,492.88
2024,1,15,10,622.92
2024,1,15,11,627.15
2024,1,15,12,702.33
2024,1,15,13,631.86
2024,1,15,14,544.85
2024,1,15,15,355.85
2024,1,15,16,58.85
2024,1,15,17,0
2024,1,15,18,0
2024,1,15,19,0
2024,1,15,20,0
2024,1,15,21,0
2024,1,15,22,0
2024,1,15,23,0
2024,1,16,0,0
2024,1,16,1,0
2024,1,16,2,0
2024,1,16,3,0
2024,1,16,4,0
2024,1,16,5,0
2024,1,16,6,0
2024,1,16,7,8.74
2024,1,16,8,260.28
2024,1,16,9,494.03
2024,1,16,10,602.04
2024,1,16,11,691.79
2024,1,16,12,697.89
2024,1,16,13,656.57
2024,1,16,14,572.6
2024,1,16,15,384.22
2024,1,16,16,80.14
2024,1,16,17,0
2024,1,16,18,0
2024,1,16,19,0
2024,1,16,20,0
2024,1,16,21,0
2024,1,16,22,0
2024,1,16,23,0
2024,1,17,0,0
2024,1,17,1,0
2024,1,17,2,0
2024,1,17,3,0
2024,1,17,4,0
2024,1,17,5,0
2024,1,17,6,0
2024,1,17,7,1.93
2024,1,17,8,37.99
2024,1,17,9,83.35
2024,1,17,10,134.1
2024,1,17,11,151.03
2024,1,17,12,179.83
2024,1,17,13,580.37
2024,1,17,14,559.35
2024,1,17,15,476.28
2024,1,17,16,159.96
2024,1,17,17,0
2024,1,17,18,0
2024,1,17,19,0
2024,1,17,20,0
2024,1,17,21,0
2024,1,17,22,0
2024,1,17,23,0
2024,1,18,0,0
2024,1,18,1,0
2024,1,18,2,0
2024,1,18,3,0
2024,1,18,4,0
2024,1,18,5,0
2024,1,18,6,0
2024,1,18,7,11.16
2024,1,18,8,196.78
2024,1,18,9,331.25
2024,1,18,10,441.98
2024,1,18,11,779.04
2024,1,18,12,735.89
2024,1,18,13,673.1
2024,1,18,14,596.12
2024,1,18,15,454.35
2024,1,18,16,129.79
2024,1,18,17,0
2024,1,18,18,0
2024,1,18,19,0
2024,1,18,20,0
2024,1,18,21,0
2024,1,18,22,0
2024,1,18,23,0
2024,1,19,0,0
2024,1,19,1,0
2024,1,19,2,0
2024,1,19,3,0
2024,1,19,4,0
2024,1,19,5,0
2024,1,19,6,0
2024,1,19,7,59.75
2024,1,19,8,359.32
2024,1,19,9,621.37
2024,1,19,10,728.24
2024,1,19,11,732.03
2024,1,19,12,801.66
2024,1,19,13,803.02
2024,1,19,14,751.49
2024,1,19,15,695.95
2024,1,19,16,324.5
2024,1,19,17,0
2024,1,19,18,0
2024,1,19,19,0
2024,1,19,20,0
2024,1,19,21,0
2024,1,19,22,0
2024,1,19,23,0
2024,1,20,0,0
2024,1,20,1,0
2024,1,20,2,0
2024,1,20,3,0
2024,1,20,4,0
2024,1,20,5,0
2024,1,20,6,0
2024,1,20,7,39.23
2024,1,20,8,250.72
2024,1,20,9,479.16
2024,1,20,10,596.34
2024,1,20,11,579.88
2024,1,20,12,620.05
2024,1,20,13,630.92
2024,1,20,14,511.27
